DATETIME;t(s);0;1;2;3;4;5;6;7;8;9;$P_e$(2.2m);$P_e$(2.6m);$P_e$(3.0m);$P_e$(3.4m);$P_e$(3.8m)
2015-06-24 18:48:00;23980;96856.63267538446;109860.06195142148;95597.46350875957;106974.74060570085;100309.9880020731;112710.02749100287;99178.83391372029;111967.97225974686;71060.709305631;85757.02499842695;103348.24668;99745.73457999999;104168.72312;102651.87591999999;76541.4198
2015-06-24 18:50:00;24100;98616.67790898823;110753.9880479479;93576.5918989574;111541.42739691724;97338.18521196514;110879.39100866225;97399.17261079622;110480.75443106616;96948.7110436436;111051.63775877927;103231.03576;101379.79269999999;104161.82835999998;102631.19163999999;102707.03399999999
2015-06-24 18:52:00;24220;97992.54316071869;108072.39221073076;94987.86346593894;108719.35422018323;97520.92917778403;112044.38994390318;97002.09745297646;109580.00549633775;99080.66421324383;111419.89922322167;103182.77243999999;101731.42546;104085.98599999999;102658.77067999999;103810.19559999999
2015-06-24 18:54:00;24370;97193.97436745728;110907.91816613401;97110.10715480082;108864.12501694738;96704.68369418287;113182.30823840428;95913.92773175279;111777.91279261168;97646.79359363113;111525.58128910844;103082.79841999999;101934.82087999998;103755.03752;102582.92831999999;103830.87988
2015-06-24 18:56:00;24490;97708.63085096116;108626.33165668939;96628.37043805498;112711.50365869771;97506.57004110815;111217.76118884736;96244.10763696786;111622.40839001544;100433.45341846776;111006.05136737728;102865.61347999999;101790.03091999999;103734.35324;102403.66455999999;103713.66896
2015-06-24 18:58:00;24600;98473.39010175673;110307.7852008263;97804.47871934023;110101.25100830637;97382.11512034286;112184.80092652203;96416.31610676665;112226.4190517951;99621.91640768242;114253.42427169507;102962.14012;101769.34663999999;103761.93228;102624.29688;103637.82659999999
2015-06-24 19:00:00;24720;99454.85388097574;109577.3273450166;96205.958251536;111985.67803270253;99176.00310029885;111583.16552884836;96043.62184571392;111325.73663019111;99173.25958124065;111992.4073079015;103027.64034;101755.55711999998;103706.77419999999;102596.71784;103644.72136
2015-06-24 19:02:00;24830;97899.87386881576;110975.25536822052;97906.58802614448;108102.67577340963;98633.8330762841;112039.70307237783;98227.2298932741;111078.15147291629;99572.0595484078;111243.47802554417;103055.21938;101800.37306;103727.45847999999;102617.40212;103968.77507999999
2015-06-24 19:04:00;24950;99363.9727156991;111231.50322555423;95475.38639919594;110095.28208639436;97455.46758888628;112427.94387298488;96076.87995067654;107575.48789771917;102569.03329874987;111280.98295752807;102972.48225999999;101831.39948;103651.61611999999;102596.71784;103865.35367999999
2015-06-24 19:06:00;25070;96721.40158613122;108915.68519410546;98225.4955839134;108854.80940255271;99104.3093520025;111956.28289453758;98889.06940765427;110856.57654507615;100569.93209158682;110681.47176682347;102962.14012;101862.42589999999;103665.40564;102631.19163999999;103789.51131999999
2015-06-24 19:08:00;25180;99987.57788936904;110127.17186268295;95859.76299802358;109442.2256954286;97605.99004283354;111257.9819939636;96592.6217154351;112677.16903686165;99694.20113308863;113236.9303239714;102886.29775999999;101800.37306;103741.24799999999;102513.98071999999;103741.24799999999
2015-06-24 19:10:00;25300;95528.00635594231;110124.3772818291;97327.08859051777;108580.1596854373;94375.53890818231;111587.01341738875;98204.4215982362;109716.01306654459;100288.19566374192;112550.71128357854;102979.37701999999;101659.03047999999;103706.77419999999;102341.61171999999;103734.35324
2015-06-24 19:12:00;25420;98999.40339817597;111358.16667717759;96594.23307322914;108604.35167602263;97808.8370186332;112466.2353581594;96400.63642943089;110015.92194247762;100704.64457449972;109255.65149969795;102869.06086;101872.76804;103589.56327999999;102541.55975999999;103851.56416
2015-06-24 19:14:00;25570;99488.03339534889;111569.04641878305;95868.15940830462;110926.24645837097;98559.41322292745;113932.96040779886;98906.46307592417;112145.85587106064;97760.0219177061;111586.09635723886;102710.48138;101672.81999999999;103727.45847999999;102396.7698;103472.35235999999
2015-06-24 19:16:00;25690;96516.73748732283;108231.23191066724;95584.58233497886;108804.92657250326;97486.84592668491;111692.94407257151;98709.72879326789;110121.71639843921;97413.11740730895;111189.02441370762;102782.87636;101858.97851999999;103624.03708;102424.34883999999;103486.14188
2015-06-24 19:18:00;25800;101474.42915055263;110380.60297510453;96661.56375831968;108318.65154974125;96424.63847737308;108762.75320864451;95220.85464567415;110687.28494348271;101093.64644558435;111632.19593997765;102641.53378;101700.39903999999;103506.82616;102293.34839999999;103396.51
2015-06-24 19:20:00;25920;99659.85767868235;109028.39108779372;95142.70999165082;110792.33856257927;96423.03986369332;114219.00846312936;95084.10307053261;111286.75967413631;99372.6626202649;110816.68975414059;102641.53378;101465.9772;103493.03663999999;102251.97983999999;103465.4576
2015-06-24 19:22:00;26040;96863.32214732558;111506.06379203677;94262.17631717658;109893.09765649539;98034.82459223231;112704.20259098928;95012.35277976359;109544.35011292518;97960.51698689375;111465.3366748487;102434.69097999998;101641.79358;103237.93052;102114.08463999999;103224.14099999999
2015-06-24 19:24:00;26150;97459.13598287335;111934.69621994918;96320.65061472091;108406.90308348334;98090.64460250069;113917.23386435035;97338.65494541186;110263.86276511454;99100.91510588252;111566.05038069014;102489.84906;101397.0296;103313.77287999999;101872.76804;103182.77243999999
2015-06-24 19:26:00;26270;96031.69320481774;111314.42340600403;98703.39347119757;110299.34639833405;93463.42257831755;111091.23275090611;96463.34055936933;109702.00536436142;102553.39256782968;113374.0164285461;102358.84861999999;101510.79314;103272.40431999999;101955.50515999999;103237.93052
